County Code,State Name,County Name
181,Iowa,Warren
195,Iowa,Worth
005,Kansas,Atchison
015,Kansas,Butler
073,Minnesota,Lac qui Parle
083,Minnesota,Lyon
085,Minnesota,McLeod
093,Minnesota,Meeker
103,Minnesota,Nicollet
113,Minnesota,Pennington
121,Minnesota,Pope
127,Minnesota,Redwood
147,Minnesota,Steele
153,Minnesota,Todd
161,Minnesota,Waseca
003,Mississippi,Alcorn
013,Mississippi,Calhoun
017,Mississippi,Chickasaw
029,Mississippi,Copiah
037,Mississippi,Franklin
049,Mississippi,Hinds
061,Mississippi,Jasper
065,Mississippi,Jefferson Davis
075,Mississippi,Lauderdale
121,Louisiana,West Baton Rouge
127,Louisiana,Winn
009,Maine,Hancock
029,Maine,Washington
001,Maryland,Allegany
003,Maryland,Anne Arundel
009,Maryland,Calvert
017,Maryland,Charles
019,Maryland,Dorchester
029,Maryland,Kent
035,Maryland,Queen Anne's
037,Maryland,St. Mary's
039,Maryland,Somerset
041,Maryland,Talbot
011,Massachusetts,Franklin
009,Michigan,Antrim
015,Michigan,Barry
023,Michigan,Branch
035,Michigan,Clare
037,Michigan,Clinton
045,Michigan,Eaton
057,Michigan,Gratiot
061,Michigan,Houghton
073,Michigan,Isabella
077,Michigan,Kalamazoo
083,Michigan,Keweenaw
085,Michigan,Lake
091,Michigan,Lenawee
097,Michigan,Mackinac
103,Michigan,Marquette
107,Michigan,Mecosta
111,Michigan,Midland
117,Michigan,Montcalm
123,Michigan,Newaygo
133,Michigan,Osceola
143,Michigan,Roscommon
155,Michigan,Shiawassee
161,Michigan,Washtenaw
165,Michigan,Wexford
009,Minnesota,Benton
019,Minnesota,Carver
029,Minnesota,Clearwater
039,Minnesota,Dodge
051,Minnesota,Grant
057,Minnesota,Hubbard
067,Minnesota,Kandiyohi
097,Missouri,Jasper
103,Missouri,Knox
109,Missouri,Lawrence
117,Missouri,Livingston
131,Missouri,Miller
137,Missouri,Monroe
151,Missouri,Osage
159,Missouri,Pettis
169,Missouri,Pulaski
179,Missouri,Reynolds
195,Missouri,Saline
205,Missouri,Shelby
211,Missouri,Sullivan
221,Missouri,Washington
229,Missouri,Wright
013,Montana,Cascade
037,Montana,Golden Valley
043,Montana,Jefferson
121,Nebraska,Merrick
125,Nebraska,Nance
135,Nebraska,Perkins
137,Nebraska,Phelps
147,Nebraska,Richardson
159,Nebraska,Seward
163,Nebraska,Sherman
171,Nebraska,Thomas
183,Nebraska,Wheeler
009,Nevada,Esmeralda
021,Nevada,Mineral
033,Nevada,White Pine
007,New Jersey,Camden
015,New Jersey,Gloucester
031,New Jersey,Passaic
001,New Mexico,Bernalillo
006,New Mexico,Cibola
051,Montana,Liberty
059,Montana,Meagher
069,Montana,Petroleum
093,Montana,Silver Bow
099,Montana,Teton
107,Montana,Wheatland
003,Nebraska,Antelope
009,Nebraska,Blaine
023,Nebraska,Butler
035,Nebraska,Clay
037,Nebraska,Colfax
047,Nebraska,Dawson
053,Nebraska,Dodge
063,Nebraska,Frontier
073,Nebraska,Gosper
085,Nebraska,Hayes
093,Nebraska,Howard
097,Nebraska,Johnson
117,Nebraska,McPherson
079,Mississippi,Leake
083,Mississippi,Leflore
095,Mississippi,Monroe
099,Mississippi,Neshoba
103,Mississippi,Noxubee
115,Mississippi,Pontotoc
117,Mississippi,Prentiss
127,Mississippi,Simpson
139,Mississippi,Tippah
151,Mississippi,Washington
001,Missouri,Adair
009,Missouri,Barry
021,Missouri,Buchanan
033,Missouri,Carroll
043,Missouri,Christian
053,Missouri,Cooper
065,Missouri,Dent
075,Missouri,Gentry
085,Missouri,Hickory
001,North Carolina,Alamance
005,North Carolina,Alleghany
017,North Carolina,Bladen
021,North Carolina,Buncombe
027,North Carolina,Caldwell
055,North Carolina,Dare
057,North Carolina,Davidson
067,North Carolina,Forsyth
081,North Carolina,Guilford
091,North Carolina,Hertford
103,North Carolina,Jones
117,North Carolina,Martin
127,North Carolina,Nash
141,North Carolina,Pender
151,North Carolina,Randolph
165,North Carolina,Scotland
167,North Carolina,Stanly
055,Ohio,Geauga
063,Ohio,Hancock
065,Ohio,Hardin
075,Ohio,Holmes
089,Ohio,Licking
097,Ohio,Madison
109,Ohio,Miami
121,Ohio,Noble
131,Ohio,Pike
143,Ohio,Sandusky
147,Ohio,Seneca
159,Ohio,Union
169,Ohio,Wayne
173,Ohio,Wood
009,Oklahoma,Beckham
019,Oklahoma,Carter
031,Oklahoma,Comanche
043,Oklahoma,Dewey
053,Oklahoma,Grant
181,North Carolina,Vance
191,North Carolina,Wayne
197,North Carolina,Yadkin
007,North Dakota,Billings
019,North Dakota,Cavalier
031,North Dakota,Foster
035,North Dakota,Grand Forks
045,North Dakota,LaMoure
061,North Dakota,Mountrail
073,North Dakota,Ransom
079,North Dakota,Rolette
091,North Dakota,Steele
103,North Dakota,Wells
003,Ohio,Allen
015,Ohio,Brown
027,Ohio,Clinton
039,Ohio,Defiance
047,Ohio,Fayette
015,New Mexico,Eddy
027,New Mexico,Lincoln
028,New Mexico,Los Alamos
045,New Mexico,San Juan
053,New Mexico,Socorro
003,New York,Allegany
021,New York,Columbia
037,New York,Genesee
043,New York,Herkimer
057,New York,Montgomery
069,New York,Ontario
083,New York,Rensselaer
095,New York,Schoharie
109,New York,Tompkins
121,New York,Wyoming
123,New York,Yates
013,Pennsylvania,Blair
015,Pennsylvania,Bradford
021,Pennsylvania,Cambria
031,Pennsylvania,Clarion
047,Pennsylvania,Elk
063,Pennsylvania,Indiana
069,Pennsylvania,Lackawanna
087,Pennsylvania,Mifflin
093,Pennsylvania,Montour
105,Pennsylvania,Potter
113,Pennsylvania,Sullivan
123,Pennsylvania,Warren
005,South Carolina,Allendale
009,South Carolina,Bamberg
027,South Carolina,Clarendon
039,South Carolina,Fairfield
005,Tennessee,Benton
007,Tennessee,Bledsoe
013,Tennessee,Campbell
027,Tennessee,Clay
031,Tennessee,Coffee
045,Tennessee,Dyer
057,Tennessee,Grainger
069,Tennessee,Hardeman
081,Tennessee,Hickman
093,Tennessee,Knox
105,Tennessee,Loudon
117,Tennessee,Marshall
129,Tennessee,Morgan
139,Tennessee,Polk
151,Tennessee,Scott
173,Tennessee,Union
179,Tennessee,Washington
049,South Carolina,Hampton
053,South Carolina,Jasper
075,South Carolina,Orangeburg
081,South Carolina,Saluda
003,South Dakota,Aurora
007,South Dakota,Bennett
017,South Dakota,Buffalo
029,South Dakota,Codington
035,South Dakota,Davison
043,South Dakota,Douglas
055,South Dakota,Haakon
061,South Dakota,Hanson
087,South Dakota,McCook
095,South Dakota,Mellette
103,South Dakota,Pennington
111,South Dakota,Sanborn
125,South Dakota,Turner
137,South Dakota,Ziebach
059,Oklahoma,Harper
063,Oklahoma,Hughes
073,Oklahoma,Kingfisher
081,Oklahoma,Lincoln
087,Oklahoma,McClain
097,Oklahoma,Mayes
109,Oklahoma,Oklahoma
123,Oklahoma,Pontotoc
127,Oklahoma,Pushmataha
147,Oklahoma,Washington
153,Oklahoma,Woodward
017,Oregon,Deschutes
031,Oregon,Jefferson
037,Oregon,Lake
053,Oregon,Polk
069,Oregon,Wheeler
005,Pennsylvania,Armstrong
357,Texas,Ochiltree
359,Texas,Oldham
367,Texas,Parker
379,Texas,Rains
381,Texas,Randall
393,Texas,Roberts
397,Texas,Rockwall
411,Texas,San Saba
425,Texas,Somervell
429,Texas,Stephens
433,Texas,Stonewall
445,Texas,Terry
449,Texas,Titus
459,Texas,Upshur
463,Texas,Uvalde
475,Texas,Ward
491,Texas,Williamson
497,Texas,Wise
507,Texas,Zavala
011,Utah,Davis
185,Tennessee,White
189,Tennessee,Wilson
009,Texas,Archer
011,Texas,Armstrong
021,Texas,Bastrop
031,Texas,Blanco
047,Texas,Brooks
053,Texas,Burnet
063,Texas,Camp
069,Texas,Castro
079,Texas,Cochran
095,Texas,Concho
099,Texas,Coryell
103,Texas,Crane
115,Texas,Dawson
123,Texas,DeWitt
127,Texas,Dimmit
137,Texas,Edwards
149,Texas,Fayette
159,Texas,Franklin
169,Texas,Garza
177,Texas,Gonzales
179,Texas,Gray
185,Texas,Grimes
191,Texas,Hall
195,Texas,Hansford
217,Texas,Hill
227,Texas,Howard
233,Texas,Hutchinson
247,Texas,Jim Hogg
251,Texas,Johnson
263,Texas,Kent
265,Texas,Kerr
275,Texas,Knox
283,Texas,La Salle
297,Texas,Live Oak
303,Texas,Lubbock
309,Texas,McLennan
319,Texas,Mason
329,Texas,Midland
339,Texas,Montgomery
349,Texas,Navarro
353,Texas,Nolan
121,Virginia,Montgomery
125,Virginia,Nelson
141,Virginia,Patrick
145,Virginia,Powhatan
155,Virginia,Pulaski
157,Virginia,Rappahannock
173,Virginia,Smyth
187,Virginia,Warren
197,Virginia,Wythe
510,Virginia,Alexandria
530,Virginia,Buena Vista
540,Virginia,Charlottesville
595,Virginia,Emporia
660,Virginia,Harrisonburg
670,Virginia,Hopewell
760,Virginia,Richmond
775,Virginia,Salem
820,Virginia,Waynesboro
013,Washington,Columbia
021,Washington,Franklin
029,Wisconsin,Door
033,Wisconsin,Dunn
039,Wisconsin,Fond du Lac
045,Wisconsin,Green
063,Wisconsin,La Crosse
069,Wisconsin,Lincoln
073,Wisconsin,Marathon
081,Wisconsin,Monroe
095,Wisconsin,Polk
103,Wisconsin,Richland
115,Wisconsin,Shawano
129,Wisconsin,Washburn
141,Wisconsin,Wood
025,Wyoming,Natrona
031,Wyoming,Platte
033,Wyoming,Sheridan
045,Wyoming,Weston
013,Unknown State,Arecibo
041,Washington,Lewis
045,Washington,Mason
065,Washington,Stevens
001,West Virginia,Barbour
007,West Virginia,Braxton
013,West Virginia,Calhoun
021,West Virginia,Gilmer
039,West Virginia,Kanawha
049,West Virginia,Marion
061,West Virginia,Monongalia
079,West Virginia,Putnam
089,West Virginia,Summers
101,West Virginia,Webster
003,Wisconsin,Ashland
005,Wisconsin,Barron
007,Wisconsin,Bayfield
017,Wisconsin,Chippewa
025,Wisconsin,Dane
029,Utah,Morgan
031,Utah,Piute
035,Utah,Salt Lake
051,Utah,Wasatch
005,Vermont,Caledonia
019,Vermont,Orleans
007,Virginia,Amelia
017,Virginia,Bath
029,Virginia,Buckingham
043,Virginia,Clarke
047,Virginia,Culpeper
063,Virginia,Floyd
075,Virginia,Goochland
101,Virginia,King William
111,Virginia,Lunenburg
113,Virginia,Madison
023,Alabama,Choctaw
025,Alabama,Clarke
029,Alabama,Cleburne
031,Alabama,Coffee
037,Alabama,Coosa
047,Alabama,Dallas
055,Alabama,Etowah
059,Alabama,Franklin
061,Alabama,Geneva
067,Alabama,Henry
071,Alabama,Jackson
081,Alabama,Lee
085,Alabama,Lowndes
087,Alabama,Macon
089,Alabama,Madison
070,Alaska,Dillingham
110,Alaska,Juneau
130,Alaska,Ketchikan Gateway
185,Alaska,North Slope
195,Alaska,Petersburg
220,Alaska,Sitka
230,Alaska,Skagway
143,Arkansas,Washington
147,Arkansas,Woodruff
003,California,Alpine
007,California,Butte
093,Alabama,Marion
095,Alabama,Marshall
097,Alabama,Mobile
101,Alabama,Montgomery
117,Alabama,Shelby
119,Alabama,Sumter
125,Alabama,Tuscaloosa
131,Alabama,Wilcox
020,Alaska,Anchorage
068,Alaska,Denali
019,Unknown State,Barranquitas
025,Unknown State,Caguas
031,Unknown State,Carolina
045,Unknown State,Comerío
054,Unknown State,Florida
061,Unknown State,Guaynabo
069,Unknown State,Humacao
083,Unknown State,Las Marías
093,Unknown State,Maricao
105,Unknown State,Naranjito
115,Unknown State,Quebradillas
129,Unknown State,San Lorenzo
135,Unknown State,Toa Alta
145,Unknown State,Vega Baja
007,Alabama,Bibb
011,Alabama,Bullock
015,Alabama,Calhoun
045,California,Mendocino
049,California,Modoc
051,California,Mono
057,California,Nevada
059,California,Orange
065,California,Riverside
069,California,San Benito
073,California,San Diego
075,California,San Francisco
113,California,Yolo
001,Colorado,Adams
007,Colorado,Archuleta
009,Colorado,Baca
015,Colorado,Chaffee
017,Colorado,Cheyenne
021,Colorado,Conejos
023,Colorado,Costilla
029,Colorado,Delta
037,Colorado,Eagle
043,Colorado,Fremont
081,California,San Mateo
083,California,Santa Barbara
087,California,Santa Cruz
095,California,Solano
101,California,Sutter
103,California,Tehama
109,California,Tuolumne
009,California,Calaveras
013,California,Contra Costa
015,California,Del Norte
013,Alaska,Aleutians East
149,Georgia,Heard
059,Kansas,Franklin
025,California,Imperial
029,California,Kern
031,California,Kings
039,California,Madera
067,Georgia,Cobb
069,Georgia,Coffee
073,Georgia,Columbia
077,Georgia,Coweta
081,Georgia,Crisp
087,Georgia,Decatur
093,Georgia,Dooly
095,Georgia,Dougherty
101,Georgia,Echols
103,Georgia,Effingham
109,Georgia,Evans
115,Georgia,Floyd
119,Georgia,Franklin
061,Colorado,Kiowa
063,Colorado,Kit Carson
069,Colorado,Larimer
089,Florida,Nassau
091,Florida,Okaloosa
097,Florida,Osceola
099,Florida,Palm Beach
101,Florida,Pasco
107,Florida,Putnam
109,Florida,St. Johns
113,Florida,Santa Rosa
115,Florida,Sarasota
117,Florida,Seminole
127,Florida,Volusia
131,Florida,Walton
003,Georgia,Atkinson
005,Georgia,Bacon
009,Georgia,Baldwin
015,Georgia,Bartow
023,Georgia,Bleckley
025,Georgia,Brantley
031,Georgia,Bulloch
037,Georgia,Calhoun
049,Georgia,Charlton
053,Georgia,Chattahoochee
057,Georgia,Cherokee
063,Georgia,Clayton
013,Connecticut,Tolland
005,Delaware,Sussex
001,District of Columbia,District of Columbia
003,Florida,Baker
005,Florida,Bay
011,Florida,Broward
015,Florida,Charlotte
071,Florida,Lee
079,Florida,Madison
081,Florida,Manatee
275,Alaska,Wrangell
085,Colorado,Montrose
017,Florida,Citrus
029,Florida,Dixie
031,Florida,Duval
041,Florida,Gilchrist
043,Florida,Glades
045,Florida,Gulf
049,Florida,Hardee
051,Florida,Hendry
053,Florida,Hernando
061,Florida,Indian River
063,Florida,Jackson
069,Florida,Lake
075,Colorado,Logan
077,Colorado,Mesa
081,Colorado,Moffat
087,Colorado,Morgan
091,Colorado,Ouray
097,Colorado,Pitkin
103,Colorado,Rio Blanco
109,Colorado,Saguache
119,Colorado,Teller
121,Colorado,Washington
125,Colorado,Yuma
003,Connecticut,Hartford
007,Connecticut,Middlesex
015,Arkansas,Carroll
017,Arkansas,Chicot
025,Arkansas,Cleveland
027,Arkansas,Columbia
033,Arkansas,Crawford
045,Arkansas,Faulkner
047,Arkansas,Franklin
053,Arkansas,Grant
059,Arkansas,Hot Spring
067,Arkansas,Jackson
073,Arkansas,Lafayette
081,Arkansas,Little River
083,Arkansas,Logan
087,Arkansas,Madison
001,Hawaii,Hawaii
007,Hawaii,Kauai
001,Idaho,Ada
003,Idaho,Adams
009,Idaho,Benewah
017,Idaho,Bonner
019,Idaho,Bonneville
089,Arkansas,Marion
091,Arkansas,Miller
093,Arkansas,Mississippi
099,Arkansas,Nevada
103,Arkansas,Ouachita
113,Arkansas,Polk
115,Arkansas,Pope
121,Arkansas,Randolph
133,Arkansas,Sevier
137,Arkansas,Stone
317,Georgia,Wilkes
321,Georgia,Worth
005,Arizona,Coconino
009,Arizona,Graham
011,Arizona,Greenlee
012,Arizona,La Paz
017,Arizona,Navajo
021,Arizona,Pinal
023,Arizona,Santa Cruz
027,Arizona,Yuma
003,Arkansas,Ashley
013,Arkansas,Calhoun
071,Idaho,Oneida
077,Idaho,Power
079,Idaho,Shoshone
083,Idaho,Twin Falls
003,Illinois,Alexander
007,Illinois,Boone
011,Illinois,Bureau
015,Illinois,Carroll
023,Illinois,Clark
033,Illinois,Crawford
037,Illinois,DeKalb
041,Illinois,Douglas
043,Illinois,DuPage
117,Indiana,Orange
121,Indiana,Parke
127,Indiana,Porter
135,Indiana,Randolph
137,Indiana,Ripley
141,Indiana,St. Joseph
149,Indiana,Starke
151,Indiana,Steuben
159,Indiana,Tipton
161,Indiana,Union
167,Indiana,Vigo
169,Indiana,Wabash
175,Indiana,Washington
181,Indiana,White
001,Iowa,Adair
047,Illinois,Edwards
051,Illinois,Fayette
053,Illinois,Ford
057,Illinois,Fulton
063,Illinois,Grundy
055,Indiana,Greene
057,Indiana,Hamilton
065,Indiana,Henry
067,Indiana,Howard
071,Indiana,Jackson
077,Indiana,Jefferson
087,Indiana,LaGrange
091,Indiana,LaPorte
097,Indiana,Marion
101,Indiana,Martin
103,Indiana,Miami
109,Indiana,Morgan
023,Idaho,Butte
025,Idaho,Camas
029,Idaho,Caribou
033,Idaho,Clark
041,Idaho,Franklin
043,Idaho,Fremont
047,Idaho,Gooding
053,Idaho,Jerome
055,Idaho,Kootenai
061,Idaho,Lewis
065,Idaho,Madison
069,Idaho,Nez Perce
007,Indiana,Benton
013,Indiana,Brown
015,Indiana,Carroll
019,Indiana,Clark
025,Indiana,Crawford
031,Indiana,Decatur
035,Indiana,Delaware
045,Indiana,Fountain
137,Georgia,Habersham
141,Georgia,Hancock
147,Georgia,Hart
155,Georgia,Irwin
159,Georgia,Jasper
165,Georgia,Jenkins
171,Georgia,Lamar
173,Georgia,Lanier
091,Kansas,Johnson
097,Kansas,Kiowa
099,Kansas,Labette
103,Kansas,Leavenworth
109,Kansas,Logan
113,Kansas,McPherson
119,Kansas,Meade
125,Kansas,Montgomery
131,Kansas,Nemaha
141,Kansas,Osborne
143,Kansas,Ottawa
157,Kansas,Republic
165,Kansas,Rush
167,Kansas,Russell
171,Kansas,Scott
177,Kansas,Shawnee
057,Louisiana,Lafourche
061,Louisiana,Lincoln
063,Louisiana,Livingston
069,Louisiana,Natchitoches
075,Louisiana,Plaquemines
079,Louisiana,Rapides
081,Louisiana,Red River
085,Louisiana,Sabine
111,Kentucky,Jefferson
113,Kentucky,Jessamine
123,Kentucky,Larue
129,Kentucky,Lee
135,Kentucky,Lewis
139,Kentucky,Livingston
145,Kentucky,McCracken
153,Kentucky,Magoffin
159,Kentucky,Martin
167,Kentucky,Mercer
171,Kentucky,Monroe
173,Kentucky,Montgomery
179,Kentucky,Nelson
053,Iowa,Decatur
003,Indiana,Allen
181,Georgia,Lincoln
061,Iowa,Dubuque
069,Iowa,Franklin
075,Iowa,Grundy
077,Iowa,Guthrie
089,Iowa,Howard
093,Iowa,Ida
101,Iowa,Jefferson
103,Iowa,Johnson
107,Iowa,Keokuk
111,Iowa,Lee
127,Iowa,Marshall
129,Iowa,Mills
135,Iowa,Monroe
139,Iowa,Muscatine
145,Iowa,Page
181,Kansas,Sherman
153,Iowa,Polk
155,Iowa,Pottawattamie
159,Iowa,Ringgold
163,Iowa,Scott
171,Iowa,Tama
177,Iowa,Van Buren
183,Iowa,Washington
189,Iowa,Winnebago
193,Iowa,Woodbury
003,Kansas,Anderson
009,Kansas,Barton
017,Kansas,Chase
019,Kansas,Chautauqua
211,Georgia,Morgan
081,Minnesota,Lincoln
089,Minnesota,Marshall
091,Minnesota,Martin
095,Minnesota,Mille Lacs
097,Minnesota,Morrison
099,Minnesota,Mower
105,Minnesota,Nobles
109,Minnesota,Olmsted
111,Minnesota,Otter Tail
115,Minnesota,Pine
117,Minnesota,Pipestone
119,Minnesota,Polk
129,Minnesota,Renville
133,Minnesota,Rock
059,Iowa,Dickinson
141,Minnesota,Sherburne
145,Minnesota,Stearns
149,Minnesota,Stevens
157,Minnesota,Wabasha
163,Minnesota,Washington
171,Minnesota,Wright
005,Mississippi,Amite
009,Mississippi,Benton
011,Mississippi,Bolivar
015,Mississippi,Carroll
021,Mississippi,Claiborne
031,Mississippi,Covington
039,Mississippi,George
149,Iowa,Plymouth
045,Mississippi,Hancock
051,Mississippi,Holmes
053,Mississippi,Humphreys
059,Mississippi,Jackson
067,Mississippi,Jones
073,Mississippi,Lamar
007,Maine,Franklin
215,Georgia,Muscogee
239,Georgia,Quitman
077,Minnesota,Lake of the Woods
031,South Carolina,Darlington
035,South Carolina,Dorchester
037,South Carolina,Edgefield
011,Tennessee,Bradley
017,Tennessee,Carroll
021,Tennessee,Cheatham
025,Tennessee,Claiborne
033,Tennessee,Crockett
035,Tennessee,Cumberland
041,Tennessee,DeKalb
047,Tennessee,Fayette
049,Tennessee,Fentress
059,Tennessee,Greene
061,Tennessee,Grundy
137,Minnesota,St. Louis
015,Maine,Lincoln
021,Maine,Piscataquis
023,Maine,Sagadahoc
031,Maine,York
041,Mississippi,Greene
149,Nebraska,Rock
151,Nebraska,Saline
155,Nebraska,Saunders
161,Nebraska,Sheridan
169,Nebraska,Thayer
173,Nebraska,Thurston
181,Nebraska,Webster
005,Nevada,Douglas
007,Nevada,Elko
013,Nevada,Humboldt
017,Nevada,Lincoln
023,Nevada,Nye
011,Maine,Kennebec
105,Ohio,Meigs
107,Ohio,Mercer
117,Ohio,Morrow
119,Ohio,Muskingum
125,Ohio,Paulding
129,Ohio,Pickaway
133,Ohio,Portage
135,Ohio,Preble
139,Ohio,Richland
141,Ohio,Ross
149,Ohio,Shelby
151,Ohio,Stark
157,Ohio,Tuscarawas
161,Ohio,Van Wert
065,Tennessee,Hamilton
067,Tennessee,Hancock
071,Tennessee,Hardin
077,Tennessee,Henderson
083,Tennessee,Houston
087,Tennessee,Jackson
095,Tennessee,Lake
101,Tennessee,Lewis
107,Tennessee,McMinn
109,Tennessee,McNairy
111,Tennessee,Macon
119,Tennessee,Maury
125,Tennessee,Montgomery
135,Tennessee,Perry
137,Tennessee,Pickett
011,Maryland,Caroline
013,Maryland,Carroll
021,Maryland,Frederick
023,Maryland,Garrett
031,Maryland,Montgomery
033,Maryland,Prince George's
043,Maryland,Washington
031,Nevada,Washoe
510,Nevada,Carson City
003,New Hampshire,Carroll
009,New Hampshire,Grafton
015,New Hampshire,Rockingham
019,New Hampshire,Sullivan
003,New Jersey,Bergen
009,New Jersey,Cape May
013,New Jersey,Essex
167,Ohio,Washington
171,Ohio,Williams
175,Ohio,Wyandot
003,Oklahoma,Alfalfa
